"","Municipalities","pct_2017","pct_2018"
"1","Anmore",8.48562162790763,5.49488975879177
"2","Belcarra",4.09896936995975,7.04713083246576
"3","Bowen Island",3.85409853187621,8.32153476568278
"4","Burnaby",4.19584914990527,5.43104711281938
"5","Coquitlam",5.04849039300634,5.86578918237555
"6","Delta",8.11297927229935,0.985796869595117
"7","Langley - City",413.323408982223,5.94293357994618
"8","Langley - Township",-78.8051796716864,5.31724467988957
"9","Lions Bay",8.59382623233268,5.24147775287976
"10","Maple Ridge",6.19573573509519,5.69495668643056
"11","North Vancouver - City",5.58987938287739,4.70164606532653
"12","North Vancouver - Dist",5.85959916040387,6.30192906112001
"13","Pitt Meadows",6.48096635238066,5.17449766025318
"14","Port Coquitlam",5.76943975747888,3.42034545941325
"15","Port Moody",8.22922885914142,5.31819774922031
"16","Richmond",6.71577827509119,4.13439835082848
"17","Surrey",7.49590363181303,6.60971524288107
"18","Vancouver",10.1607434161955,2.7365485136396
"19","West Vancouver",6.23855443721257,0.884137199774787
"20","White Rock",5.28153739308322,1.82691214436495
